age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag,account_age_days,earliest_credit_account_age_days,days_recent_trade_activity,delinquency_group
55,Boston,Teacher,35967,393.0,97,1,5,2.9682369333244942,1,11614.97305998898,3538.799918,3.0,1,3,0,0,1,0,0,745,1866,307,High
19,Houston,Artist,18274,610.0,0,0,1,2.2092664269802693,0,56178.33053107093,54674.20375427779,0.0,0,0,0,0,1,0,0,1470,198,238,Normal
38,Miami,Accountant,19858,582.0,0,0,1,1.247786815229074,1,23343.269760188126,21732.645765229565,1.0,1,2,0,0,0,1,0,1746,1258,170,Normal
50,New York,Other,5109,465.0,101,1,4,2.4738492232772185,0,12486.241849963348,5151.425469746378,4.0,2,4,0,0,1,0,0,782,3121,367,High
29,Atlanta,Teacher,36972,714.0,0,0,1,0.8684515701880975,0,79132.17883506001,55529.29579416335,0.0,0,0,0,0,1,0,0,1111,2060,391,Normal
39,Atlanta,Doctor,66881,570.0,56,0,1,0.9305577811065742,0,19548.235739704807,30352.353060193185,2.0,1,2,0,0,0,0,0,1732,2569,273,Normal
42,Miami,Teacher,35762,488.0,0,0,1,1.933065208356704,0,87309.03954608427,50756.37389700769,3.0,2,3,0,0,0,1,0,1855,2674,371,Normal
66,Chicago,Artist,13697,747.0,1,0,1,1.361047350961681,0,57269.66661236736,30352.353060193185,0.0,0,4,0,0,0,1,1,598,2847,249,Normal
44,Houston,Accountant,31500,310.0,90,0,6,1.977127872887385,0,8177.832046403366,1791.0041396202394,3.0,2,4,1,0,1,0,1,1761,1296,269,High
59,San Francisco,Accountant,29161,651.0,0,0,1,1.758605848052553,0,93261.06400950217,57494.12906,0.0,0,0,0,0,0,0,0,1053,1160,163,Normal
33,Atlanta,Banker,5795,713.0,0,0,1,0.9380343607079332,0,37506.4044337829,32534.9285,0.0,0,0,0,0,0,0,0,478,3619,69,Normal
32,Atlanta,Teacher,36305,588.0,0,1,1,1.5288678061853014,0,83803.62389945083,62200.47069580791,2.0,1,1,0,0,0,0,0,822,1901,80,Normal
64,Los Angeles,Banker,7921,573.0,0,1,1,1.1196843403871857,0,24122.710099215084,18784.12620074928,1.0,0,1,0,0,0,0,0,819,985,343,Normal
68,Miami,Other,8785,712.0,0,1,1,1.1326052205559662,0,84846.30203355831,52999.12945,0.0,0,0,0,0,0,0,0,1741,2679,147,Normal
61,San Francisco,Consultant,14661,376.0,98,1,2,1.4375523540780788,1,22491.14054200752,5547.5791479372665,3.0,1,3,1,0,0,1,0,1380,1735,177,High
69,Miami,Teacher,52122,553.0,0,0,1,0.9726365490113336,0,70141.96078619995,43887.47687992021,2.0,0,2,0,0,0,0,0,325,2197,332,Normal
74,New York,Lawyer,68273,754.0,0,0,1,1.2466340064417138,0,31148.127230636885,23608.515797558044,0.0,0,0,1,0,0,0,0,1650,2446,376,Normal
54,Dallas,Accountant,16354,527.0,112,0,1,2.7393649561643527,1,16086.87600383635,4810.330672213434,4.0,1,2,1,1,0,0,0,372,2849,233,High
38,Los Angeles,Doctor,29388,777.0,0,0,1,1.6296725359482804,0,16902.094015856444,15358.121234031412,0.0,0,0,0,0,1,0,0,1527,3689,151,Normal
26,Dallas,Accountant,20900,504.0,93,1,2,1.691201909831704,0,32427.952974116622,8679.096398754597,3.0,1,2,1,1,0,0,1,1633,3358,120,High
56,Miami,Banker,6711,413.0,0,0,1,1.5986349514108795,0,72140.53668515809,45306.30948872162,3.0,2,3,0,0,1,0,0,1763,2933,229,Normal
21,Houston,Banker,7602,639.0,0,0,1,1.5066082783101225,0,59032.83052,47873.721554262906,0.0,0,0,1,0,1,0,0,284,3631,330,Normal
42,Seattle,Lawyer,57464,797.0,0,0,1,0.9697726383145072,0,36522.12816841539,25960.98537,0.0,0,0,0,0,0,0,0,928,1530,118,Normal
26,New York,Retail Worker,17227,803.0,0,0,1,1.579971436864266,0,38867.923675787424,22379.05275914539,0.0,0,0,0,0,0,0,0,263,2507,69,Normal
43,Houston,Artist,51687,800.0,0,0,1,1.1428819467907778,0,24729.58350213462,16204.2022989692,0.0,0,0,0,0,1,0,0,1145,2272,239,Normal
70,Miami,Accountant,21798,450.0,104,1,2,1.343577744133686,0,37741.63016,17874.953626254355,4.0,1,3,1,0,1,0,1,317,3029,341,High
19,Atlanta,Software Developer,71012,547.0,0,0,1,1.6523669426308871,1,32193.23442195137,21121.95402196507,1.0,1,1,1,1,1,0,1,495,2814,329,Normal
37,Houston,Banker,8233,746.0,0,0,1,1.6326843133663649,0,89133.90908014713,76087.12567082145,0.0,0,3,0,0,0,0,1,1159,1330,316,Normal
64,Atlanta,Banker,2390,710.0,0,0,1,0.7909400750491031,0,46607.41462909099,30352.353060193185,0.0,0,0,0,0,0,0,0,1557,1260,159,Normal
24,Miami,Other,5193,644.0,0,0,1,0.8808931277586489,0,28945.46406593877,20585.13399317539,0.0,0,0,0,0,1,0,0,949,136,102,Normal
61,Boston,Accountant,29800,561.0,0,0,1,0.9680857298835064,0,57191.45455567469,43382.20141,2.0,1,2,0,0,0,1,0,61,299,144,Normal
25,San Francisco,Teacher,47480,686.0,2,0,1,1.612494821164602,0,46310.24688596839,35621.91596993349,0.0,0,0,0,0,0,0,0,1758,1537,95,Normal
64,Chicago,Consultant,14664,404.0,94,0,6,1.654957492042009,1,9054.818548570123,2250.896990318912,4.0,2,3,0,0,1,0,0,479,2941,312,High
52,San Francisco,Teacher,46058,463.0,0,0,1,1.8699039069388728,1,54543.64821100288,49795.90928987508,4.0,1,4,1,1,0,0,0,1307,2441,137,Normal
31,San Francisco,Banker,7562,625.0,0,0,1,0.7971784731350394,1,85478.53112387024,57789.05349208121,0.0,0,0,0,0,0,0,0,748,804,84,Normal
34,Houston,Lawyer,62149,656.0,0,1,1,2.045855183409659,0,59473.70846802995,50679.73544,0.0,0,0,0,0,0,0,0,602,2900,142,Normal
57,Seattle,Engineer,58602,702.0,0,0,1,1.1374105235249845,1,44874.61061354336,30543.641678645334,0.0,0,0,0,0,0,0,0,832,854,82,Normal
21,Dallas,Other,6505,548.0,0,0,1,0.9332937240341188,0,11538.21983403747,10090.471012180307,2.0,1,1,0,0,0,0,0,1684,544,361,Normal
19,Dallas,Other,7781,508.0,0,0,2,1.7250313733530305,0,23223.5949241724,17100.747465234355,2.0,0,1,0,0,0,0,0,1422,3493,379,Normal
59,Boston,Banker,2643,560.0,4,0,1,1.0853789466674395,0,87628.94728928193,49546.35980238741,2.0,0,2,0,0,0,0,0,1429,239,152,Normal
21,Atlanta,Software Developer,8643,597.0,0,0,1,0.8244893843590492,0,66483.1484,58029.23607202825,2.0,0,1,0,0,0,0,0,548,509,149,Normal
71,Miami,Retail Worker,16913,737.0,0,1,1,1.0745375986997747,0,91218.26243295784,74040.85685398451,0.0,0,0,0,0,0,0,0,171,957,349,Normal
46,San Francisco,Artist,9841,357.0,104,1,4,0.6824268571501495,0,5922.185913962478,2911.514097729857,4.0,1,4,1,1,1,1,1,56,2706,352,High
51,Houston,Other,48575,420.0,0,0,1,1.1913964392950047,0,77769.37678,43475.20307,4.0,2,4,0,0,1,0,0,420,2561,95,Normal
31,Atlanta,Consultant,96723,829.0,0,0,1,2.1449863955324897,0,96868.35766330126,79261.43282420219,0.0,0,0,0,0,0,0,1,280,1098,357,Normal
48,Miami,Other,6290,524.0,0,0,1,0.7688174952017388,0,72590.20560684151,51335.95601203801,1.0,1,4,0,0,0,0,1,336,440,337,Normal
65,Los Angeles,Banker,7846,773.0,0,0,1,1.0380534951675802,0,47580.91898810906,41119.26277209938,0.0,0,0,0,0,0,0,0,1538,2363,123,Normal
32,Houston,Other,3362,782.0,0,0,1,1.1730729512871672,0,65602.06963336632,42224.86605833282,0.0,0,0,0,0,0,0,0,1290,1483,233,Normal
25,Seattle,Banker,5539,577.0,32,1,3,2.4319006890759387,1,60916.99672688519,43485.70579863122,2.0,1,4,0,0,0,0,1,795,438,347,Normal
31,San Francisco,Consultant,13399,833.0,0,0,1,0.9825870456976142,0,62543.72326377163,41325.11089467607,0.0,0,0,0,0,0,1,0,388,1257,146,Normal
57,New York,Teacher,40666,799.0,0,0,1,1.5120803639441331,0,67044.80406140511,52239.65307325086,0.0,0,0,0,0,0,0,0,246,3457,109,Normal
38,Houston,Other,9748,639.0,0,0,1,1.690075012828021,1,22542.174892890656,19027.098491763936,0.0,0,0,0,0,1,0,0,268,2175,323,Normal
33,Chicago,Other,5501,574.0,0,0,1,1.4286094277539696,0,44432.595716739605,29644.730967414667,2.0,1,2,0,0,0,1,0,1222,1089,174,Normal
62,Miami,Retail Worker,18437,554.0,52,0,1,1.0816214132500288,0,26670.744662484416,16468.59908,2.0,1,2,0,1,1,0,0,1372,962,224,Normal
35,Chicago,Doctor,66492,803.0,0,0,1,0.7074766022077987,0,44519.89487309847,30352.353060193185,0.0,0,0,0,0,0,0,0,1341,3311,318,Normal
64,Houston,Consultant,16945,446.0,90,1,7,1.358279584833619,0,37247.920038256685,19483.16193377947,3.0,2,3,0,1,0,0,1,736,1734,183,High
70,Dallas,Lawyer,45465,840.0,0,0,1,1.0036883647264283,0,51589.04992528768,42253.46504,0.0,0,0,0,0,0,0,0,1599,1477,111,Normal
41,Dallas,Other,5769,698.0,8,1,1,1.3117188658591543,0,56593.82724474079,50639.71003521603,0.0,0,0,0,0,0,0,0,364,775,142,Normal
42,Seattle,Teacher,54432,763.0,4,0,1,0.6385785912710491,0,49218.33534166581,32667.755974399777,0.0,0,0,0,0,0,0,0,497,1029,184,Normal
58,Seattle,Banker,6578,768.0,0,0,1,0.8070195254510815,0,19543.438890704056,14209.88568471881,0.0,0,0,0,0,0,0,0,338,3358,195,Normal
32,New York,Retail Worker,19371,595.0,0,0,1,1.4494010167135418,0,65144.320277543135,46717.2059,2.0,0,1,0,0,0,0,0,1587,881,73,Normal
62,Houston,Banker,6026,659.0,6,0,1,0.8112807743509713,0,56971.81504702364,46838.23837519894,0.0,0,0,0,0,0,0,0,1032,2824,324,Normal
18,Chicago,Consultant,7735,560.0,0,0,1,1.2594002432766478,0,29971.99972938036,26454.218549468587,1.0,0,2,0,0,0,0,0,309,1922,44,Normal
42,Dallas,Banker,8300,560.0,91,1,9,1.7457437685053234,1,32436.53932896069,14516.127137379372,3.0,2,2,1,1,1,0,0,1010,2248,168,High
24,Boston,Banker,2201,588.0,0,0,1,1.7779630151914991,0,67478.71974636528,69761.42655269185,2.0,1,1,0,0,0,0,0,92,2701,404,Normal
26,Los Angeles,Banker,9951,360.0,94,1,2,0.9037459754361432,1,15407.13423565833,5915.622053996507,4.0,1,3,0,0,0,0,0,1072,756,61,High
41,New York,Software Developer,25011,568.0,0,1,1,1.3686810382440286,0,81611.16093399617,58485.304689715056,1.0,1,1,0,0,0,0,0,1272,956,125,Normal
18,Los Angeles,Retail Worker,9664,741.0,0,0,1,1.0540411742245763,0,35339.59941746477,26837.60354219521,0.0,0,0,0,0,0,0,0,135,3096,93,Normal
61,Miami,Consultant,14046,798.0,0,0,1,1.8640248642727204,1,47968.43095068696,31414.03573318736,0.0,0,0,0,0,0,0,0,1301,541,342,Normal
25,Chicago,Software Developer,43346,588.0,0,0,1,1.6166643005114232,0,73473.88421995292,47178.68286891597,2.0,1,1,0,0,0,0,1,504,2582,241,Normal
41,Atlanta,Banker,8876,698.0,0,0,1,1.2708742719719408,0,21888.497093004986,12528.00799680392,0.0,0,0,0,0,1,0,0,1449,1075,385,Normal
34,Miami,Consultant,14929,637.0,96,1,10,3.2255777955760623,0,6541.280914280503,2036.483444690737,4.0,2,4,1,0,1,0,1,293,3139,95,High
25,Atlanta,Doctor,30424,597.0,0,0,1,1.4717980754048667,1,71935.0719,73740.09500567253,2.0,0,1,0,0,0,0,0,140,1461,387,Normal
52,Boston,Teacher,30007,811.0,0,0,1,0.7449165076188738,0,64468.394351783565,42648.30052036135,0.0,0,0,0,0,1,0,0,928,619,146,Normal
50,Dallas,Banker,6357,632.0,0,0,1,2.262618284365186,0,28819.123434118384,24490.76333297763,0.0,0,0,0,0,0,0,0,71,66,399,Normal
22,Miami,Other,4109,410.0,61,0,2,1.5589961389143878,1,11588.976940256594,6375.503492300014,4.0,1,4,1,1,1,0,0,1764,2552,399,Normal
56,New York,Consultant,14015,439.0,99,0,3,2.3694240694261293,1,11211.220190405296,4676.532401129508,3.0,2,3,1,1,1,0,1,540,2078,367,High
26,Boston,Accountant,30227,758.0,0,0,1,1.2435507130287504,0,62422.943862193104,43694.23644626618,0.0,0,0,0,0,0,0,0,1812,831,333,Normal
25,Los Angeles,Artist,23823,694.0,0,0,1,1.5579762527623806,0,90762.25998556796,65035.59364378708,0.0,0,0,0,0,1,0,0,1155,1091,176,Normal
29,Miami,Engineer,32655,717.0,0,0,1,1.0585496186472885,0,58952.031414037854,45600.28378143461,0.0,0,0,0,0,0,0,0,1317,1343,104,Normal
51,Atlanta,Teacher,19973,718.0,0,0,1,1.0573656545680274,0,34395.40463952619,22919.87636888856,0.0,0,0,0,0,0,1,0,457,1502,236,Normal
50,Chicago,Lawyer,72917,516.0,0,0,1,2.4036259297061107,0,37946.60434772795,34887.18906132919,2.0,1,3,0,0,0,0,1,600,163,54,Normal
65,Boston,Teacher,41339,407.0,100,1,2,1.9352204600585936,1,21540.091410700417,3941.82824217358,4.0,1,3,1,0,1,1,0,1469,1109,398,High
72,New York,Banker,3631,755.0,0,0,1,0.7718553164603442,0,50553.94487,39941.06200814479,0.0,0,0,0,0,0,0,1,1008,1228,388,Normal
41,Dallas,Banker,3686,462.0,0,0,1,0.9519306314121312,0,46810.47445,30352.353060193185,3.0,1,4,0,1,0,0,0,967,508,209,Normal
52,Dallas,Retail Worker,15991,472.0,30,0,1,2.666582775715763,0,69275.43786338085,38207.329987986326,4.0,1,3,1,0,0,0,0,1202,2039,207,Normal
61,Chicago,Banker,2929,508.0,108,1,4,1.2938650627836592,0,49640.80791750742,17716.29475227075,3.0,1,4,1,1,1,1,0,595,269,88,High
57,Miami,Other,9723,657.0,0,0,1,0.9199566378169176,0,87934.21275274693,75716.38261439491,0.0,0,0,1,0,0,0,0,629,1104,206,Normal
39,Dallas,Teacher,31453,636.0,0,0,1,1.5163052481070751,0,62915.34288670489,36010.04490871521,0.0,0,0,0,0,0,0,0,80,1770,92,Normal
52,Houston,Banker,8146,626.0,0,0,1,1.1202950217279353,0,55560.90574614436,42529.08901327098,0.0,0,0,0,0,0,0,0,1054,693,395,Normal
18,Chicago,Banker,3749,652.0,45,0,4,1.0614036883183808,0,45368.66614295908,33341.63362,2.0,0,0,0,1,0,0,0,508,2832,264,Normal
52,San Francisco,Banker,8514,699.0,0,0,1,1.493270971521519,0,23833.64282130942,18847.579326871684,0.0,0,0,0,0,0,0,0,1035,180,316,Normal
54,Chicago,Teacher,44904,450.0,97,0,2,2.833616407037652,1,930.5165291451264,518.2200605933194,4.0,1,4,1,1,1,0,0,422,2126,306,High
64,Miami,Teacher,39020,600.0,14,0,1,1.5447560917468115,0,45396.889799789526,32951.44824805716,0.0,0,0,0,0,0,0,1,160,775,54,Normal
20,New York,Consultant,54435,605.0,0,0,1,1.1066662911783136,0,12089.712713669918,9399.074345986235,0.0,0,0,0,0,0,0,0,1749,151,190,Normal
18,Seattle,Other,7578,474.0,0,0,1,0.5485957101944637,0,13899.152881647184,12363.299766259284,3.0,1,4,1,1,1,0,0,1421,2921,346,Normal
22,San Francisco,Accountant,33062,494.0,0,0,1,1.4328439660390844,0,70596.21671147144,49359.15592294633,3.0,1,4,0,0,0,0,0,763,1525,182,Normal
43,Boston,Teacher,45743,712.0,0,0,1,1.059562045704744,0,17194.348111070525,11590.431465204478,0.0,0,0,0,0,0,1,0,1766,3564,249,Normal
72,New York,Consultant,16699,658.0,0,0,1,0.8891724492927455,1,51654.10375124826,35177.447512065824,0.0,0,0,1,0,1,0,0,518,178,376,Normal
31,Los Angeles,Retail Worker,21757,587.0,0,0,1,1.0873311216326955,0,28006.89396956,18409.24121828213,2.0,0,2,0,0,0,0,1,44,2126,195,Normal
56,San Francisco,Artist,4122,760.0,0,0,1,1.5226681665257282,0,63335.65871396928,39090.54396057453,0.0,0,0,1,0,1,0,0,828,3030,117,Normal
44,Miami,Banker,2620,580.0,0,0,1,1.5479868927064009,0,23911.264279548734,18099.54802943173,1.0,1,1,0,0,0,0,0,482,182,352,Normal
43,Seattle,Banker,5040,664.0,111,1,6,2.206438657021122,1,31632.56631851768,9119.820113318658,4.0,2,0,1,1,1,0,0,240,1531,87,High
59,Los Angeles,Other,5393,674.0,0,0,1,1.1533777994237258,0,93777.73309730049,62565.20448589995,0.0,0,0,0,0,0,0,0,1865,3528,79,Normal
30,Los Angeles,Retail Worker,16482,651.0,0,0,2,1.453532748047423,0,56681.55259195347,46423.04148445252,0.0,0,0,0,0,0,0,0,1767,1229,50,Normal
49,Los Angeles,Lawyer,43223,778.0,0,0,1,1.3533243525312442,0,83717.62990024971,30352.353060193185,0.0,0,0,0,0,0,0,1,944,1277,345,Normal
56,Dallas,Doctor,56865,638.0,0,0,1,1.1720724604279755,0,68771.81306805336,59262.46101853352,0.0,0,0,0,0,0,0,0,96,2372,324,Normal
66,Chicago,Banker,8028,801.0,0,0,1,1.182575826070422,0,67125.43775204587,44547.38312872685,0.0,0,0,0,0,0,0,0,1241,2928,377,Normal
69,Chicago,Banker,5995,497.0,0,0,1,1.4453734919536336,0,21286.985275971205,13335.830335436862,3.0,1,4,0,1,0,0,0,1465,1480,248,Normal
49,Boston,Banker,4210,578.0,0,1,1,1.1109359785919477,0,55477.242294645854,43431.10598578645,2.0,1,4,1,0,0,0,1,1469,1102,159,Normal
21,Dallas,Engineer,61301,486.0,0,0,1,1.2276974865000363,1,74152.15049591179,60292.64815559307,4.0,2,3,1,0,0,0,0,388,2138,310,Normal
47,Chicago,Consultant,14667,799.0,16,0,1,1.1621481949576278,1,86311.55269822232,48748.828595007246,0.0,0,0,0,0,0,1,0,1492,1336,326,Normal
56,Seattle,Banker,2711,601.0,0,1,1,1.6324472080677437,0,14575.313127819623,10750.230243816097,0.0,0,0,0,0,0,0,0,377,804,310,Normal
62,Atlanta,Accountant,51176,728.0,0,0,1,1.2121759105875725,0,30215.45125812006,27959.364884817154,0.0,0,0,0,0,0,0,0,747,2490,193,Normal
60,Dallas,Teacher,45676,759.0,9,0,1,0.9955011879542732,0,62398.73398,57200.69681156941,0.0,0,0,0,0,1,0,0,1153,1078,106,Normal
46,Houston,Other,6447,355.0,97,0,5,2.404987051190308,1,44015.717353551554,30352.353060193185,3.0,2,3,1,0,1,0,0,338,756,358,High
53,Miami,Doctor,2253,717.0,0,0,1,0.9432628023464324,1,83655.04509461744,54359.372381720095,0.0,0,0,1,0,0,0,0,1144,731,287,Normal
30,Atlanta,Banker,7973,807.0,0,0,1,1.5308988071431948,0,16960.81151205676,13345.00848276424,0.0,0,0,0,0,1,0,0,1462,1150,351,Normal
24,Boston,Accountant,50113,722.0,0,0,1,0.978690129,0,12832.836475458324,10281.30522479422,0.0,0,0,0,0,0,0,0,1328,3112,66,Normal
45,Los Angeles,Teacher,23210,683.0,0,0,1,1.5193035774521604,0,65128.73388008975,60315.11322655659,0.0,0,0,0,0,1,0,0,212,2041,56,Normal
59,Houston,Consultant,14092,544.0,111,1,3,1.9310151353597784,1,36648.44972877291,11908.869616487244,3.0,1,1,1,1,1,0,0,1146,1149,298,High
74,San Francisco,Lawyer,69738,548.0,0,1,1,1.152427777235301,0,31004.917368886094,30352.353060193185,1.0,0,1,1,0,0,0,0,644,3343,252,Normal
70,New York,Retail Worker,43403,594.0,39,0,2,0.9163058489246104,0,31888.781349033645,16081.751157941922,1.0,0,2,0,1,0,0,0,1809,1005,117,Normal
45,Dallas,Other,2037,557.0,1,0,1,1.1249626554458236,0,92859.47947854886,59263.26399362303,2.0,1,2,0,0,0,0,0,82,1694,221,Normal
61,Seattle,Banker,6452,471.0,93,1,8,2.234324965272769,1,41159.572549993885,18470.596867448752,4.0,2,3,0,1,1,0,1,1484,2820,331,High
47,Los Angeles,Banker,2139,652.0,18,0,1,0.5949647933520021,0,53421.21390198326,40490.78474259952,0.0,0,0,0,0,0,0,0,1859,863,83,Normal
28,New York,Accountant,18616,404.0,113,1,3,2.2476142521288414,0,10614.833057834629,5125.973956049605,3.0,2,3,1,1,0,0,0,630,1109,259,High
45,Los Angeles,Accountant,15997,512.0,0,0,1,1.2193966694280474,0,23377.661334512497,22061.34022115314,2.0,0,1,0,0,0,0,0,1800,2202,80,Normal
50,Los Angeles,Retail Worker,6028,620.0,0,0,1,1.0039620926253392,1,51045.57313517431,30003.004126391388,0.0,0,0,0,0,0,0,0,1655,424,80,Normal
44,Miami,Other,4774,735.0,0,1,1,0.8720224132458892,0,38369.12073400622,24945.94555594567,0.0,0,0,0,0,0,0,0,1524,1854,327,Normal
74,Boston,Accountant,46583,644.0,0,1,1,1.2798626912538662,0,58691.74595601198,40061.22049706491,0.0,0,0,0,0,0,0,1,217,2401,66,Normal
30,Dallas,Other,2931,591.0,117,1,5,1.501174230902936,0,26335.44826945973,7419.720155244841,4.0,2,2,1,1,1,0,0,1242,860,262,High
58,Chicago,Other,6052,436.0,109,1,10,1.7099689168177614,1,24261.900745089613,9413.34541607418,4.0,2,4,1,1,0,0,1,1133,3447,295,High
20,Seattle,Banker,3461,569.0,38,0,1,2.149716883928302,1,15913.630344889318,10564.95921601978,1.0,1,1,0,1,1,0,0,852,1419,100,Normal
56,Seattle,Consultant,3596,584.0,52,1,2,1.6229337371379855,0,6306.733745742045,3395.620409310024,1.0,1,1,0,1,1,0,0,409,1302,291,Normal
23,Boston,Accountant,46852,465.0,1,0,1,1.3447836458690017,0,529826.7549204475,11026.634351046132,4.0,1,3,0,0,1,0,0,792,863,225,Normal
25,Houston,Retail Worker,15864,711.0,0,1,1,1.017401633465671,0,51378.19265097691,33956.82297358482,0.0,0,4,0,0,1,0,1,1246,1563,256,Normal
44,Boston,Accountant,29346,536.0,0,0,1,1.3075362419034218,0,100374.27934693344,56235.203966298526,2.0,0,1,0,0,0,0,0,214,1046,241,Normal
26,Atlanta,Lawyer,5209,788.0,0,0,1,1.1973904946527598,0,28553.018673621096,21652.83202652188,0.0,0,0,0,0,1,0,0,840,1499,201,Normal
54,Houston,Banker,2609,628.0,0,0,1,1.690546734864868,1,37256.29408675024,26791.271909096857,0.0,0,0,0,0,0,0,0,1764,1822,116,Normal
59,Atlanta,Other,2022,380.0,119,1,4,1.7011806496219113,1,34614.54232484075,13204.791379630551,4.0,2,3,1,1,1,0,1,1701,377,69,High
61,San Francisco,Teacher,42546,737.0,0,1,1,1.0028856051132091,0,69038.83601052989,46263.70735072717,0.0,0,0,1,0,0,0,0,1829,1160,146,Normal
32,Atlanta,Engineer,7795,797.0,0,0,1,1.0114267372540882,0,63322.68847981697,52994.97758,0.0,0,0,1,0,1,0,0,1429,2188,89,Normal
49,New York,Consultant,15563,691.0,10,0,1,1.0720523461100022,0,46621.12953157439,39625.479393818816,0.0,0,0,0,0,0,0,0,1287,1805,177,Normal
58,Atlanta,Consultant,15103,777.0,0,0,1,1.5091080292218502,0,379254.9939595539,12602.592833099832,0.0,0,4,0,0,0,0,1,1194,3435,229,Normal
69,San Francisco,Banker,4019,828.0,0,0,1,1.2992454397622435,0,16599.904579853086,15593.190845714778,0.0,0,0,0,0,0,0,0,719,2902,391,Normal
66,Los Angeles,Doctor,37076,789.0,0,0,1,1.485123563065542,0,53642.38801332978,39740.30274389478,0.0,0,0,0,0,0,0,0,1525,3581,262,Normal
69,Houston,Retail Worker,20746,506.0,0,0,1,1.056445887964649,0,17629.43498402947,13238.641640525846,1.0,0,2,0,0,0,0,0,409,692,115,Normal
29,Houston,Accountant,28764,642.0,0,0,1,0.7757541324886309,0,92153.156,53333.72876049074,0.0,0,0,0,0,0,0,0,186,1741,395,Normal
19,Boston,Other,5081,381.0,0,0,1,1.069541444700133,0,48257.97371,35046.316459693975,4.0,2,4,0,0,1,1,0,1666,3204,388,Normal
66,Atlanta,Teacher,52269,410.0,110,1,2,2.384756647,1,8388.227594026574,1895.4739978849004,4.0,1,3,0,1,1,0,0,1279,1295,384,High
73,Boston,Artist,19096,604.0,0,0,1,0.96345075783747,0,55333.65494309588,37521.12232979867,0.0,0,0,0,0,0,0,0,1534,2647,65,Normal
