account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag
2020-06-24,19,Los Angeles,Teacher,57636,691.0,1,0,1,1.700600849554054,0,77590.28005,66259.25370810095,0.0,0,2016-05-26,2024-01-21,0,0,False,1,0,0
2020-10-19,42,Seattle,Software Developer,66173,815.0,0,0,1,2.319446763455701,0,49900.37174406873,37887.19523,0.0,0,2019-07-18,2024-07-25,0,0,False,0,0,0
2023-11-16,38,Atlanta,Consultant,13349,503.0,0,0,1,1.3711549188295673,0,27063.889494876657,20660.42271972833,2.0,1,2019-10-18,2024-07-23,2,1,False,0,0,0
2024-08-24,66,San Francisco,Accountant,41161,516.0,19,0,1,2.140576994936156,0,21965.38213700321,15833.977759659954,1.0,1,2017-10-14,2024-04-09,1,0,,0,0,0
2022-12-22,40,Boston,Doctor,2732,588.0,0,0,1,1.4073469558778418,0,18373.11092910121,15032.39423522157,1.0,1,2019-08-14,2024-08-06,1,0,False,0,0,0
2021-05-15,63,San Francisco,Retail Worker,19143,735.0,0,1,1,0.6553142039797404,0,85734.68456289385,81411.64118975223,0.0,0,2017-06-17,2024-03-31,0,0,False,0,0,0
2020-05-01,30,Miami,Teacher,33871,650.0,0,0,1,1.1922326452601155,0,62822.55020294328,54122.57670569751,0.0,0,2023-10-08,2023-12-28,0,0,False,0,0,0
2021-08-19,20,San Francisco,Other,31888,791.0,0,0,1,1.2641641424689638,0,62589.81807181255,59234.55637607957,0.0,0,2016-09-30,2024-02-15,0,0,False,1,0,0
2021-09-01,64,Chicago,Doctor,5467,325.0,116,1,4,2.490677368515373,1,22641.95251298353,7742.197595114808,4.0,2,2019-06-04,2024-02-19,3,0,True,0,1,0
2019-11-09,63,Chicago,Artist,15225,403.0,115,0,8,1.5211762408809992,1,27136.99358641187,5654.269513636104,4.0,2,2021-10-28,2024-04-24,3,1,True,0,1,0
2022-10-21,22,Chicago,Software Developer,59442,316.0,106,1,5,3.115028593389776,1,13819.287583082136,5267.117999829259,4.0,1,2020-07-29,2024-08-08,4,1,True,1,0,0
2021-12-09,51,Miami,Other,9973,670.0,0,0,1,0.8297106537482342,0,71106.34887668556,59578.92181868896,0.0,0,2022-03-12,2023-11-05,0,1,False,0,0,0
2023-08-06,38,Boston,Teacher,55159,545.0,0,1,1,1.3111774844340809,0,21668.25626323311,13046.758733849723,1.0,1,2016-01-30,2024-04-24,1,0,False,0,0,0
2021-02-19,55,Chicago,Other,9997,765.0,0,0,1,0.6736447117331131,0,62139.56044693682,46774.607845276085,0.0,0,2023-06-08,2023-11-30,0,0,False,0,1,0
2020-12-13,37,Dallas,Consultant,20994,677.0,0,0,1,0.8094442099609169,0,19719.87554006257,14647.004178083662,0.0,0,2023-02-27,2024-01-27,0,0,False,0,0,0
2019-11-15,39,Miami,Doctor,92218,533.0,10,0,1,0.945876166,0,75528.34469,50139.23049887974,1.0,1,2017-04-24,2023-11-21,2,0,False,1,0,0
2021-04-30,20,Seattle,Doctor,30514,578.0,0,1,1,1.3863361264238665,0,58713.007437323104,49803.71995846178,1.0,1,2021-09-28,2023-12-15,1,0,False,0,0,0
2020-08-10,70,Houston,Artist,16555,447.0,106,1,5,1.8141295978954928,0,34571.89294681802,17579.117349764547,3.0,1,2018-10-25,2024-06-05,4,1,False,0,1,1
2020-09-27,26,Miami,Retail Worker,4535,544.0,106,0,3,1.3943158487999725,1,16343.967204494047,6487.624311301212,4.0,2,2024-10-14,2024-08-19,1,1,True,1,0,0
2022-03-28,48,Dallas,Engineer,41435,815.0,0,0,1,0.9377949613427936,0,57132.55350269553,49226.217382544855,,0,2023-02-05,2024-08-30,0,0,False,1,0,0
2021-04-09,19,San Francisco,Consultant,16669,570.0,0,0,1,2.138716887354291,0,46550.96861,31345.974184908104,2.0,0,2015-01-18,2024-09-11,3,0,,0,0,1
2021-04-14,73,San Francisco,Accountant,58314,736.0,0,0,1,0.5638674964829563,0,30704.266579185947,22101.733331987725,0.0,0,2018-05-04,2024-02-15,0,0,False,0,0,1
2020-04-09,33,Miami,Retail Worker,23644,555.0,0,0,1,1.2094556904800755,0,29584.37147,22909.15508100869,1.0,0,2015-02-13,2024-07-16,4,0,False,1,0,1
2020-06-04,70,Houston,Software Developer,57213,743.0,0,0,1,1.2679397119330995,0,85328.77864862254,57055.13294,,0,2016-11-14,2024-02-22,0,0,False,0,0,0
2024-08-26,61,Boston,Banker,69091,458.0,113,1,4,3.11738808009806,1,42025.47925780442,12128.423784255549,3.0,2,2019-08-07,2024-06-22,4,1,True,1,0,1
2024-09-22,21,Seattle,Teacher,39743,454.0,0,0,1,1.1276888468368764,0,85101.58122318826,66899.83513798751,3.0,2,2016-05-30,2024-01-03,4,1,False,0,0,0
2020-02-11,55,Houston,Software Developer,71381,529.0,0,0,1,1.3003599230741874,0,30992.830139810143,30352.353060193185,,1,2022-08-18,2024-03-19,1,0,False,0,1,1
2022-06-08,45,Dallas,Banker,5806,717.0,0,1,1,0.732191576,0,18837.860599414707,16399.68998922533,0.0,0,2016-03-27,2024-06-18,3,0,False,0,0,1
2019-12-20,21,Miami,Accountant,49422,679.0,0,0,1,1.2505646231769965,0,58558.73240617206,43417.624949445846,0.0,0,2017-12-17,2024-05-30,4,0,False,0,0,1
2021-08-05,73,Seattle,Consultant,14977,622.0,0,1,1,1.3547617701559365,0,81965.77619392223,67712.12799543134,,0,2016-09-11,2024-09-02,0,0,False,0,0,0
2020-07-03,42,Dallas,Teacher,41366,604.0,113,0,4,1.9406929515889335,1,44951.00265013568,13943.658214397334,,1,2020-11-06,2024-05-24,0,1,False,1,0,0
2023-05-08,60,New York,Doctor,66788,691.0,0,0,1,1.4968631019948628,0,85451.57587481297,72352.83085921344,0.0,0,2020-05-06,2024-05-30,0,0,False,0,0,0
2021-01-26,19,Seattle,Software Developer,50051,779.0,0,0,1,1.748936424283282,0,22374.98087273545,16590.750522230737,0.0,0,2023-11-24,2024-08-20,0,0,False,0,1,0
2021-11-10,32,Chicago,Banker,9138,603.0,100,1,5,3.0018728608691383,1,33344.10971223953,15433.741441804485,,2,2021-04-29,2024-06-15,0,1,True,0,0,0
2021-06-13,41,Houston,Other,7041,777.0,0,0,1,0.99976977840089,0,82197.15445596106,53650.58857165062,0.0,0,2017-11-15,2024-03-21,0,0,False,0,0,1
2023-04-10,74,Houston,Banker,5627,622.0,6,0,1,1.098742478459093,0,63759.24242058092,48072.74951386741,0.0,0,2017-05-17,2023-12-28,0,0,False,0,0,0
2022-08-06,20,Seattle,Banker,3461,569.0,38,0,1,2.149716883928302,1,15913.630344889318,10564.95921601978,1.0,1,2021-01-16,2024-08-27,1,0,True,1,0,0
2020-12-22,19,Miami,Accountant,55755,759.0,0,0,1,0.7243143874594418,0,36262.75688442087,29519.814582438637,0.0,0,2019-09-10,2024-02-06,0,0,False,0,0,1
2020-09-23,61,Houston,Teacher,44242,686.0,0,0,1,7.637024415873099,0,72305.85431570954,65979.16063767107,0.0,0,2015-07-24,2024-03-04,0,0,False,0,0,0
2024-03-23,28,Houston,Banker,4967,553.0,113,1,5,1.3139451561411912,1,31768.183402886767,8785.201990333788,3.0,2,2017-03-04,2024-08-02,1,1,True,0,0,0
2020-09-27,32,Seattle,Engineer,45452,524.0,0,1,1,1.7766128320195995,0,16267.11753268584,11372.702842884011,2.0,0,2024-10-05,2024-01-26,3,1,False,0,1,0
2021-02-19,21,Atlanta,Accountant,24143,776.0,0,0,1,1.3150805388984566,0,56476.92408814997,40488.68797897119,0.0,0,2022-07-08,2024-05-16,0,0,False,0,0,0
2023-04-28,71,Seattle,Retail Worker,19599,690.0,0,0,1,1.033824731705454,0,22399.58498705295,16259.971085015755,0.0,0,2016-12-23,2024-04-06,0,0,,1,0,0
2023-10-16,73,New York,Retail Worker,17471,785.0,0,1,1,1.5798091087848845,0,83247.65705635959,66898.93937395954,0.0,0,2018-09-18,2024-09-14,4,0,False,0,0,1
2022-07-09,67,Miami,Other,8984,630.0,107,1,2,2.6324302759809326,1,43813.65860298421,13388.73877299763,4.0,2,2020-12-16,2024-09-27,4,1,False,0,1,1
2022-07-20,52,Seattle,Banker,2383,473.0,0,0,1,1.6159052404666472,1,91661.585322117,56655.65005916736,4.0,2,2018-01-22,2024-05-10,3,0,True,0,0,0
2024-01-02,58,Seattle,Banker,6578,768.0,0,0,1,0.8070195254510815,0,19543.438890704056,14209.88568471881,0.0,0,2015-09-26,2024-05-24,0,0,False,0,0,0
2023-04-12,38,San Francisco,Software Developer,73990,384.0,100,1,5,2.2310703081794783,0,12194.276803286946,3860.280612908345,3.0,2,2016-07-23,2024-01-02,4,0,True,0,0,0
2021-01-10,40,San Francisco,Accountant,23989,731.0,0,0,1,0.9301449467230232,0,14037.310223662553,9268.59189436366,0.0,0,2016-02-28,2023-11-14,0,0,False,0,0,0
2021-03-21,50,Chicago,Consultant,13238,749.0,0,0,1,1.5825801226498604,0,48830.72378127065,30352.353060193185,0.0,0,2022-05-12,2024-09-24,0,0,False,1,0,0
2024-10-14,20,Seattle,Retail Worker,10987,619.0,0,0,1,2.510256379816464,0,12393.440880693614,11151.690680537336,,0,2022-11-18,2024-04-18,0,0,False,0,0,0
2023-07-05,71,New York,Consultant,16847,643.0,0,0,1,0.7776898050315493,1,70358.29977279676,59086.45081506007,0.0,0,2023-04-21,2023-12-09,0,0,False,0,0,1
2023-04-11,46,Los Angeles,Teacher,43742,576.0,103,0,3,2.8294273944612707,1,25782.88771087397,5709.995872129418,4.0,2,2016-04-29,2024-04-20,1,0,True,0,0,0
2021-09-13,59,New York,Teacher,16629,566.0,15,0,1,1.2671991815699208,0,62602.46021268405,48316.27903613694,1.0,1,2019-08-25,2024-08-27,2,0,False,0,0,0
2019-11-02,30,Boston,Other,4472,796.0,0,0,1,1.3288026346049082,1,87858.29767629344,75714.77992831508,0.0,0,2016-08-04,2024-10-23,0,0,False,0,0,1
2019-11-04,74,Miami,Consultant,13340,670.0,0,0,1,1.344952149964468,0,73064.17072,72927.38262770131,0.0,0,2019-07-09,2024-08-15,0,0,False,0,0,0
2020-09-05,66,Seattle,Consultant,15769,499.0,95,0,3,1.4191782567001994,1,1069.9962213064755,490.29372970224506,4.0,2,2017-08-02,2024-07-20,4,1,True,0,0,0
2024-08-12,60,Houston,Lawyer,5177,644.0,0,1,1,1.4137288589406931,0,12500.48755214556,10242.656382623722,0.0,0,2024-09-06,2024-02-21,0,0,,0,0,0
2020-03-23,58,Chicago,Accountant,35069,766.0,0,0,1,1.1575930196322146,0,55714.39853490242,52527.54597233549,0.0,0,2022-03-07,2024-04-29,0,1,False,0,0,1
2024-06-27,53,Dallas,Other,9346,616.0,0,0,1,1.160834951064987,0,48179.51200655973,38984.88584855223,0.0,0,2020-06-06,2023-12-06,0,1,False,0,0,0
2022-02-11,68,Los Angeles,Accountant,54639,673.0,0,0,1,1.3155988503086316,0,51564.72796590319,38961.83007648237,0.0,0,2017-05-16,2023-10-26,0,0,,0,0,0
2021-01-18,38,Miami,Accountant,16559,749.0,0,0,1,1.368974110271734,0,73800.76166070886,30352.353060193185,,0,2023-08-04,2024-04-27,0,0,False,1,0,0
2022-06-02,39,Miami,Accountant,17275,570.0,0,0,1,0.7984611358342963,0,17353.094736900173,11879.614989974112,1.0,0,2022-07-04,2023-12-12,2,0,False,0,0,0
2022-02-11,55,Los Angeles,Banker,6689,816.0,0,0,1,0.922353826822776,0,66231.19397033978,49037.69792486013,0.0,0,2020-12-28,2024-03-30,0,0,False,0,0,0
2021-09-10,66,Boston,Banker,3309,778.0,0,0,1,2.4779704410835484,0,73408.60376700156,52814.33094124292,0.0,0,2020-06-20,2023-12-10,0,0,False,0,0,0
2023-01-17,21,Atlanta,Banker,4179,561.0,113,1,3,1.4967142134414229,1,7301.974400175127,1973.9823292624696,3.0,2,2021-05-09,2023-12-03,1,1,True,1,0,0
2021-02-12,38,Los Angeles,Accountant,47133,550.0,0,0,1,1.323896278399254,0,54193.73157446132,47305.448583574725,1.0,0,2015-09-01,2024-01-14,2,1,False,0,0,0
2024-02-22,29,Los Angeles,Accountant,45058,659.0,10,0,1,1.021298609,0,25307.498914211257,17831.002541772992,0.0,0,2022-06-29,2024-06-09,0,0,,0,0,0
2021-07-13,19,Los Angeles,Consultant,14762,744.0,0,0,1,1.1622867722039838,0,17128.712867771454,13386.450446880915,0.0,0,2023-09-30,2024-04-06,0,0,False,0,0,0
2023-05-17,21,Dallas,Teacher,46967,428.0,108,0,4,1.6774568923669368,1,40578.77902799394,13536.672622653106,3.0,1,2024-09-07,2023-10-30,3,1,True,1,0,0
2021-12-01,58,Seattle,Doctor,49882,734.0,8,0,1,2.381324279306883,0,45494.01508023793,27430.93359514974,0.0,0,2015-08-15,2023-12-23,0,0,,1,0,0
2019-12-24,18,Boston,Artist,18297,735.0,0,0,1,2.366501373811432,0,18885.98887673448,16251.753671654384,0.0,0,2019-03-16,2024-01-15,0,0,False,0,0,0
2024-05-29,69,San Francisco,Banker,4597,746.0,16,0,1,1.094770967113861,0,65663.29838913851,42972.24347488087,0.0,0,2018-09-21,2024-04-20,0,0,False,0,0,0
2020-12-03,34,Chicago,Artist,11628,384.0,98,1,4,1.4357190105552275,1,20078.572757303413,9110.063318,,1,2023-06-30,2024-06-07,4,1,True,0,0,0
2019-11-25,56,San Francisco,Banker,5074,771.0,0,0,1,1.1902823182775657,0,31037.85550557077,23348.078188946765,0.0,0,2018-04-17,2024-03-06,0,0,,1,0,0
2024-02-14,44,New York,Banker,8423,584.0,117,0,2,1.2463927180520726,1,40851.24191684156,12651.903493586657,3.0,2,2020-02-20,2024-08-19,2,1,True,0,0,0
2020-09-22,59,Dallas,Accountant,23914,526.0,116,1,2,2.6806881095003665,1,48763.72846032408,21909.51869463737,3.0,1,2019-10-30,2024-07-01,2,1,,1,0,0
2022-09-20,37,Atlanta,Artist,9123,676.0,0,0,1,0.9863424930579232,0,98524.97835109026,68163.08902,0.0,0,2023-02-15,2024-09-10,0,1,False,0,0,0
2023-02-03,46,Los Angeles,Doctor,87423,690.0,15,0,1,0.9853833818233828,0,30382.06730535711,21661.05003715128,0.0,0,2018-05-22,2024-04-30,0,0,False,0,0,0
2024-05-17,26,New York,Doctor,88052,736.0,8,0,1,1.8177717784645453,0,23739.398971483737,20538.81482550194,0.0,0,2017-11-06,2024-02-13,0,0,False,0,0,0
2021-04-03,31,Houston,Banker,9154,658.0,0,0,1,0.5978571848539812,0,48653.742226647584,38960.68473582802,0.0,0,2020-10-30,2024-01-10,0,0,,0,1,0
2023-09-28,65,Seattle,Teacher,28669,672.0,0,0,1,0.9554787267442594,0,62909.99859657589,57174.58662705763,,0,2017-07-25,2023-11-24,4,0,False,0,0,1
2019-11-23,38,Los Angeles,Artist,11099,439.0,0,0,1,0.8011436322014621,0,22818.22826319769,13884.820695282076,3.0,2,2015-12-19,2023-11-15,3,0,True,0,0,0
2020-12-10,66,San Francisco,Consultant,15236,683.0,6,0,1,0.9085106440994072,0,95624.40784031534,82403.75173896762,0.0,0,2016-10-17,2024-04-19,0,0,False,1,0,0
2020-02-02,29,Atlanta,Lawyer,61541,448.0,0,0,1,1.306114800826094,0,22775.800637874763,20306.91135179746,4.0,2,2017-10-24,2024-07-25,3,0,,0,0,0
2021-03-07,62,Boston,Accountant,25112,731.0,0,0,1,1.041442400498762,0,93126.93297049176,55618.10552,0.0,0,2020-07-20,2024-06-29,0,0,,1,0,0
2019-11-03,47,Los Angeles,Banker,2139,652.0,18,0,1,0.5949647933520021,0,53421.21390198326,40490.78474259952,0.0,0,2022-07-26,2024-09-13,0,0,False,0,0,0
2022-08-14,45,New York,Banker,9263,630.0,0,0,1,1.6548811104420085,0,60175.05475887361,30352.353060193185,0.0,0,2024-05-21,2024-04-02,0,0,False,0,0,0
2024-05-24,57,Miami,Other,3426,652.0,0,0,1,0.8790320992563752,0,26184.10274071061,23523.09194653992,0.0,0,2017-09-21,2024-02-03,0,0,,0,0,0
2023-10-10,54,New York,Accountant,53184,445.0,5,0,1,1.4538891975571704,1,81501.60474773761,55369.01378472463,4.0,2,2017-09-28,2024-06-08,4,0,False,1,0,0
2021-10-14,43,Los Angeles,Other,6083,369.0,0,0,1,1.0956778737326736,0,72033.19485984487,60267.42919412491,4.0,2,2021-04-28,2023-12-12,4,1,False,0,0,0
2019-11-17,26,Dallas,Doctor,71261,681.0,0,0,1,0.9870769294401726,0,53625.1142650268,33158.79043298702,0.0,0,2019-08-18,2024-06-13,0,0,False,0,0,0
2020-06-12,48,Dallas,Banker,2760,681.0,0,0,1,2.2566154702604466,0,81247.09947,49857.45271,0.0,0,2023-10-02,2024-04-15,0,0,False,0,0,1
2022-07-07,53,Atlanta,Other,3007,733.0,0,0,1,0.7332175761277513,0,53938.29069783602,32084.743841231877,0.0,0,2022-10-20,2024-03-06,3,0,False,0,0,1
2020-06-08,52,Chicago,Engineer,90318,602.0,5,0,2,1.2867257949836552,0,78522.53360455335,30352.353060193185,0.0,0,2016-12-07,2023-11-06,0,0,,1,0,0
2021-07-05,34,Seattle,Accountant,51859,601.0,0,0,1,0.9866426537781764,0,77582.27868988682,48870.54428,0.0,0,2024-10-16,2024-04-06,0,0,False,0,0,0
2022-02-13,49,Chicago,Accountant,41687,678.0,9,0,1,0.6894125723980687,0,32992.73201010755,23331.30469826304,0.0,0,2018-05-19,2024-03-16,0,0,False,0,0,0
2022-09-30,64,Houston,Engineer,82138,695.0,0,1,1,0.9240231329802852,0,53218.63843921962,43878.292217822745,0.0,0,2024-06-17,2024-05-13,0,0,False,1,0,0
2022-03-23,19,Boston,Software Developer,33059,689.0,0,0,1,0.972465870455914,0,46859.756162801685,33630.97621480985,0.0,0,2018-04-14,2024-06-25,0,0,False,0,1,1
2021-02-23,65,Chicago,Accountant,51636,495.0,0,0,1,1.4898137031037713,0,98129.30989353827,54662.76459241794,3.0,1,2015-02-19,2024-08-19,4,1,True,1,0,0
2021-04-20,46,San Francisco,Other,3578,788.0,0,1,1,0.6336084289822043,0,12346.980259698754,7700.306779892949,0.0,0,2020-02-22,2024-07-07,3,1,False,0,0,1
2021-11-30,20,Seattle,Teacher,58322,780.0,0,1,1,1.976579794222149,1,60841.41196321912,41172.76157231245,0.0,0,2022-10-01,2023-12-30,0,0,False,0,0,0
2024-05-12,34,Chicago,Teacher,50629,600.0,2,0,1,1.1385282997888675,1,51874.149549783135,32704.860065478315,0.0,0,2024-01-07,2024-06-11,4,0,False,1,0,1
2022-07-06,49,Atlanta,Consultant,14282,534.0,11,0,1,0.9780467570495414,0,70898.53859799202,50896.62011721624,1.0,0,2023-12-10,2024-04-17,3,0,False,1,0,0
2020-06-15,44,San Francisco,Accountant,43289,499.0,10,0,1,1.573305347119203,0,30435.457578165897,25201.077131854658,4.0,1,2018-04-06,2024-06-20,3,0,False,0,0,0
2021-03-01,72,Miami,Retail Worker,14632,832.0,0,0,1,1.119566200684008,0,21842.21401035316,16406.405420375584,0.0,0,2017-08-16,2023-11-04,0,0,True,0,0,0
2024-02-28,73,San Francisco,Accountant,99957,691.0,22,0,1,1.4860146690104552,1,75750.37325883935,64199.4314,0.0,0,2019-04-25,2024-06-24,0,0,False,0,0,0
2024-07-14,37,New York,Consultant,15381,733.0,0,1,1,0.9585711059267542,0,34689.47528731883,24322.86065991593,0.0,0,2019-01-07,2024-03-14,0,0,False,0,0,1
2020-12-02,59,Seattle,Other,2248,531.0,23,0,1,1.2122366251781205,0,72676.26336461793,67917.76582282018,2.0,0,2015-06-09,2024-03-24,1,0,False,0,0,0
2024-04-24,22,Boston,Banker,3098,726.0,0,0,1,1.0782625895210642,0,59815.04619981222,47545.71562837661,0.0,0,2015-02-01,2024-09-15,0,0,False,0,0,0
2022-09-18,38,Atlanta,Artist,14373,670.0,0,0,2,1.467194003482416,0,67987.53888853382,54859.84532452123,0.0,0,2021-12-05,2024-10-08,0,0,False,0,0,0
2020-05-04,55,San Francisco,Consultant,13815,699.0,0,1,1,1.2414394947534275,0,33601.19091094624,22325.21328073744,0.0,0,2021-05-12,2024-01-04,0,0,False,0,0,1
2021-10-04,65,Atlanta,Accountant,35116,752.0,0,0,1,1.3211107691153658,0,33036.77917126976,22893.497719073457,0.0,0,2016-06-30,2024-02-28,0,0,,0,0,0
2022-12-01,50,Miami,Other,4895,411.0,118,1,6,1.5666041575635363,1,53827.219039501375,15468.126638944555,4.0,1,2020-08-02,2024-05-12,3,1,True,1,0,1
2022-10-22,66,Dallas,Doctor,82058,522.0,0,0,1,1.314526862385466,0,81753.10769,49245.41884633661,2.0,1,2019-07-14,2024-09-22,1,0,False,0,0,0
2022-10-17,52,Los Angeles,Other,4131,603.0,116,1,1,2.9321861541207546,1,51754.25807319668,25410.346080485077,4.0,1,2020-12-02,2024-09-28,0,1,True,0,0,0
2023-08-28,24,Seattle,Consultant,15056,351.0,100,1,3,2.938217659539388,1,44074.58594278888,9983.774795,4.0,2,2024-06-09,2023-12-03,4,0,False,1,0,0
2019-10-26,45,San Francisco,Doctor,32719,783.0,0,1,1,0.7854564201241429,0,61298.52066809552,48592.62135597927,0.0,0,2020-07-20,2024-02-13,3,0,False,0,0,1
2021-04-30,44,New York,Artist,9360,463.0,0,0,1,0.8791258029792817,0,75176.41320916534,62976.45567820755,3.0,1,2019-10-02,2024-05-09,4,0,False,0,0,0
2023-04-07,28,Chicago,Artist,22519,462.0,98,1,9,2.9429540119888054,1,47018.07981348028,22320.425310476505,4.0,1,2018-12-18,2023-11-16,3,0,False,1,0,0
2023-11-13,48,Seattle,Consultant,14748,448.0,0,0,1,1.323527512,0,73483.40661533258,56363.73455393719,3.0,1,2015-09-08,2024-01-28,4,0,True,0,0,0
2020-11-08,20,Miami,Banker,5938,638.0,0,0,1,1.3344805369176898,0,89907.43615363775,73543.25535071458,,0,2017-04-01,2024-04-05,0,0,,0,0,0
2020-03-26,32,Seattle,Retail Worker,4249,746.0,0,0,1,0.804723465,0,16539.84507,12654.706150451431,0.0,0,2017-03-14,2023-11-11,0,0,False,0,0,0
2021-05-13,73,Seattle,Other,6398,604.0,0,0,1,1.7767977545540714,0,73792.18562649835,65292.31599079482,0.0,0,2017-08-09,2024-07-26,0,0,False,0,0,0
2024-06-30,72,San Francisco,Lawyer,66132,790.0,0,0,2,0.88996442,0,75784.74373037776,46642.75714870209,0.0,0,2016-10-02,2024-01-09,0,0,False,0,1,0
2020-03-31,36,Chicago,Engineer,30337,559.0,0,0,1,1.3665823327452689,0,40765.79629337803,37912.81347858998,2.0,0,2019-07-07,2023-11-06,2,0,False,0,0,0
2020-11-21,65,Los Angeles,Teacher,2758,475.0,0,0,1,0.7214055034773296,0,77744.61232419367,64168.84849319619,4.0,2,2023-03-10,2024-03-22,3,0,False,1,0,0
2024-02-02,50,San Francisco,Banker,8949,672.0,8,0,1,1.4730092655256026,0,72184.84715920468,57260.041651584106,0.0,0,2020-08-08,2024-03-25,0,1,False,1,0,0
2022-07-23,21,Chicago,Consultant,13777,481.0,99,1,2,1.8534573706885336,1,9682.438114741106,2425.4761906181866,3.0,1,2022-02-19,2024-02-20,4,0,False,1,0,0
2023-04-25,50,Chicago,Doctor,84689,656.0,0,0,1,1.186949924905856,0,36318.97511517999,32496.099763441103,0.0,0,2019-06-26,2023-12-15,0,0,False,0,0,0
2023-01-23,63,Houston,Other,5604,756.0,0,0,1,1.6884162351983492,0,100919.97469001892,69582.43018,0.0,0,2023-04-19,2024-06-21,0,0,False,0,0,0
2022-10-30,44,Chicago,Consultant,13540,360.0,119,1,9,1.872828783330032,1,12798.286762163192,3657.20400386501,3.0,2,2020-05-12,2024-07-29,3,1,True,1,0,0
2021-01-07,22,San Francisco,Accountant,46851,547.0,0,1,1,1.1733499390402438,0,71119.63189,46887.02758431558,1.0,0,2016-07-22,2024-04-21,2,0,False,0,1,0
2023-08-08,26,Atlanta,Doctor,51261,596.0,0,0,1,1.200520902481893,0,28959.241301356127,16693.147764598813,2.0,0,2018-03-01,2023-12-07,1,0,False,0,0,0
2022-10-12,69,Dallas,Consultant,13696,370.0,115,1,7,2.235919972150923,1,40624.66212297822,17960.858416363728,4.0,2,2020-03-10,2024-08-28,4,0,False,1,1,0
2024-08-10,45,San Francisco,Lawyer,52464,641.0,2,1,1,0.9292356201754824,0,70746.40112475233,61662.34694425586,0.0,0,2017-02-06,2024-03-05,0,0,False,1,1,1
2021-09-06,58,Miami,Consultant,14622,604.0,0,0,1,1.1546050765449756,0,9228.44467214938,8578.805241466733,,0,2017-11-11,2023-12-01,0,1,False,0,0,0
2023-11-11,74,Boston,Accountant,34153,757.0,0,0,1,1.2047107998796152,0,11156.778749729345,10018.304627096104,0.0,0,2016-01-14,2024-09-25,0,0,False,0,1,0
2020-04-22,49,New York,Teacher,46162,595.0,118,1,4,1.5142198215577296,1,43152.736266171785,25244.548053066195,4.0,2,2020-12-16,2024-08-26,2,1,False,1,0,0
2024-01-01,58,San Francisco,Accountant,42673,723.0,0,0,1,0.7799477589341617,0,72536.14948870346,52348.168511655385,,0,2019-01-11,2024-03-12,0,0,False,0,0,0
